nama,ulasan
Devi Reista,"Alun alun Jombang terletak di jantung kota Jombang dekat dengan masjid agung, stasiun kantor Bupati ,tersedia Playground untuk anak anak ,spot foto estetik banyak ,apabila beruntung dapat melihat bunga tabebuya mekar indah sekali. Banyak pepohonan di sekitar jadi hawa masih relatif sejuk"
Hefi Indra Sari,"Tempat luas , ada tempat playground nya untuk anak anak , masuk gratis tinggal bayar parkir saja . Sangat  nyaman sekali"
Arif Budi Setyawan,Banyak penjual aneka makanan dan minuman. Pepohonannya cukup perdu dan bersih. Jadi nyaman kalau cari makan di sekitar situ atau sekedar untuk beristirahat melepas lelah. Dekat dengan stasiun. Sambil nunggu kereta sy sering nongkrong di salah satu warung kaki lima di situ.
Fitria Rahmawati,"Sekarang ada tempat bermain untuk anak-anak,, seperti prosotan tapi sayang di batasi jam untuk bermain,, mungkin karena panas agar mainan biar gak cepet rusak kali yaaaa"
Fitri Alfiatus,"Tempatnya nyaman, menenangkan dan pelayanannya sangat ramah, recommennded bgt siii ini🥰😍 …"
Adi Prasetya,"Tempat yang lapang dan terbuka berbentuk square, dikelilingi jajaran pepohonan  Cocok untuk jogging pagi, udara segar dan sejuk. Agak disayangkan saat sore dan malam hari menjadi agak ""kumuh"" karena penuh dengan pedagang dan warga kota Jombang yang tumpah ruah ditempat ini, apalagi saat week end atau long holiday."
Ariska Efa,Pusatnya kota Jombang... masuk gratis.. hanya bayar parkir saja..
Rika Bella Marcelina,"Tempat yang bagus, ada area bermain juga untuk anak-anak, tetapi untuk masa pandemi seperti sekarang alangkah lebih baiknya untuk tetap mematuhi protokol seperti memakai masker untuk anak-anak juga, mungkin juga bisa dibatasi jam bermain …"
Basuki Hermawan,"Alhamdulillah luar biasa, alun alun jombang sekarang bisa menjadi bagus, dengan sarana tempat bermain anak yang terbuka, membuat anak anak semakin suka bermain ditempat seperti ini, dan mungkin bisa menjadi contoh buat kota kota yang lainnya....jombang semoga menjadi lebih indah dengan taman bermainnya."
Joko Lelono,"Sangat bagus..... Biar anak g mainan gadget terus. Mhn koreksi utk arena luncuran kl bs dibuat satu jalur naik, biar tdk bertabrakan."
Ananing Nur Wahyuli,Banyak jajanan kaki lima di sekitar alun-alun dan bisa dinikmati dengan duduk santai di bawah pohon. Sayangnya di sekitarnya tidak disediakan tempat sampah sehingga pengunjung banyak yang membuang sampah sembarangan.
Bella Prakusa,"bersih dan nyaman , waktu ada event juga tertata dengan baik ."
wigi astika,"Tempat strategis sih
Dekat stasiun, dekat masjid,
Makanan harga miring, bisa buat acara kumpul keluarga, teman,  pasangan & tempat olahraga"
Pipit Lovering (Pipit),"Tempat nongkrongnya orang Jombang. Lokasinya dekat stasiun, masjid Jami' dan Pendopo. Jadi kalau ada acara pasti ramai. Dekat sekolah juga dan biasanyabjadi tempat olahraga atau muda mudi untuk bermain. Suasana malamnya bagus dan ramai karena banyak jual makanan."
Asli Blitar,"Bagus banget, area publik yang bermanfaat. Kemarin pas saya main kesana, balai sebelah barat digunakan untuk latihan tari tradisional. Mantabs..."
Anna Maulidiyah,"Tempat alun - alun nya cukup strategis, hanya saja ramenya Subhanallah dijalan masuk nya, karna terlalu banyak penjual dan tidak teratur tempatnya. Untuk lapangannya cukup bermanfaat saat kita ingin menghabiskan malam bersama keluarga di tempat terbuka dengan budget rendah"
Muhammad S. Zuhri,Tempat yang nyaman untuk bersantai
Usman Al Khofy,Bagus. Hehe buat foto launching ShopeeFood Jombang.
rofiq rahman,lebih tertata rapi sekarang
RaChMaN༆࿐ 26,"Untuk istirahat bagi pejalan jauh bagus dan nyaman, daerah yg ramai dan sejuk"
jojo setyo,"Disini adalah pusat berkumpulnya orang"" yang ingin mencari kuliner atau sekedar jalan jalan,tempat ini luas ,biasanya dipenuhi oleh anak remaja yang nongkrong. Banyak orang tua yang mengajak anak"" mereka ke sini apalagi kalau sedang ada bazar pasti tempat ini ramai dikunjungi"
Intan permatasari,"Jombang mulai berbenah. Ini seperti publik space terpadu. Mau naik kereta, deket stasiun, mau naik bis, angkot, segala penjuru ada aja angkutan publik. Mau sholat deket masjid agung. Kalo laper, ada penjaja kaki lima buuuanyak bet disitu. Di dalam alun² sudah ada playground juga."
ananda al,"Sebelum di pugar, makin banyak aja anak2 muda gak tau malu mempertontonkan maksiat di depan umum. Rata2 anak smp/sma/kuliah. Dan gk ada yg negur. Semoga setelah di pugar nanti akan disediakan juga polisi/keamanan yg menjaga alun2. Dari berbagai kemaksiatan. Eman alun2ku jadi banyak kotoran tissue & balon berlendir."
Dinda,Adeem n bersiih. Si bapak suka ngajak ngadem disini sambil ngemil🤭 …
Anik Masruroh,"Tempatnya sekarang bagus, bersih indah dan nyaman, ada tempat mainan anak juga. Namun sayang untuk area buat beli"" Makanan jauh, ndak kyk dl"
Yenny Rosalia,Lokasi bersih orang nya ramah semakin bagus
Ahyun Azzam Aberor,"Alun2 ok ,ada taman bermain , dekat masjid agung , stasiun juga dekat 👍 ... Kmrn pas 30 okt 22 ada carnaval . Tersedia lapangan badminton …"
Zai Muhammad,"Alon Alon Jombang berbeda dg yang dulu. Lebih bagus dan enak dipandang.
Ada tempat bermain untuk anak². Mungkin bisa di tambah fasilitas bermainnya agar lebih menarik. …"
Sindy Syafaah,"Rumputnya tinggi pas kesana. Hanya hamparan rumput luas tidak ada arena bermain. Sayang g da tukang jualan, pdhl dl ada. Hanya karena corona mereka dipindah, pindahnya malah bikin cluster baru pula."
AHMAD QOMARUDDIN,Tpq Nya smeoga makin berkah yg ngaji makij banyak juga ustadz2 nya selalu semangat dalam mengamalkan ilmu al quranya.. amin...
yayan syam,"Tanah lapang yang dilengkapi dengan playground anak, smoga warga Jombang bisa tertib (buang sampah ditempatnya, makan minum diluar Playground, rumput jangan diinjak atau dilewati jalan, kasian tuh petugasnya ngingetin terus). Lokasinya diseberang stasiun Jombang."
Piepit dyan,"Seruuu ngabuburit disini, palagi ma keluarga..... Uhuk"
Laksmi Satwijayanti,"Tempatnya nyaman, ada kulinernya juga"
Linawati,"Suka sekali
Momen pulang kampung di pergantian tahun kali ini
Jalan2 …"
Husein,"byk yg dagang, jd kalo nyari makan malem yg lesehan tinggal pilih2 saja, cuma pengamennya bkin bosen, kbyakan , makan blm selesai udh 5 x di gitarin , jd kurang nyaman"
Agnes Riska,Bau tidak sedap dparkiran mobil. Tempatnya sedikit kotor.
Bandi Reog,"Lumayan bersih dan rame. Cocok untuk anak2, remaja dan keluarga. Amat sangat disayangkan tempat seramai ini tidak ada fasilitas wifi gratis atau wifi.id atau WMS atau WICO dari Telkom."
bintang bulan bersinar,Bagus luas tapi panas
Khinanti Ramadhani,Bagus ...tapi sayang masih ada sampah2 yg ga dibuang di tempat sampah 🥲🙏🏻 …
Pongky Hermawan,"Bagus...bersih..cocok untuk anak"" ada tempat bermain anak"" tapi tetap dalam pengawasan orang tua"
siva Alisya,"Tempatnya luas, bersih
Ada mainan anak anak
Sehingga nyaman berlama2 disana …"
bagoessoekohartono bagoessoekohartono,"Fasilitas banyak
Play Ground anak anak
Jogging …"
Achmad Nurhadi,Tempatnya luas dan nyaman utk healing bersama keluarga
dewiainin,"Tempatnya luas, ada tempat bermain ada yang komplit dan bersih. Ada beberapa makanan disekitarnyaa yang enak. Cocok untuk jalan jalan bersama keluarga dan anak anak."
Vdy Rudvi,"Alun2 jombang untuk saat lebih nyaman dr sebelumnya...
Lebih tertata dan asri...
Kt suami ""kl suasananya kayak gini,ayh pasti betah berlama²... coba ky dulu... …"
Hendra Wijaya Chaniago,Sudah bagus ada Playground untuk anak-anak
muhammad dachlan,"Klo sore hari sangat ramai, tempatnya bersih dan ada tempat bermain untuk anak2 tutup jam 21.00 wib."
Lluk_ iw,Indah bersih sekarang...Ajak anak2 main disini pasti senang krn sudah dprsiapkan wahana bermain buat para bocil asal tetap prokes🤗 …
Untung Mujianto,Seperti kebanyakan taman alun alun namun disini terdapat burung merpati yg sengaja dipelihara terbuka untuk menambah semaraknya taman dan kita bisa membeli jagung untuk memberi makan burung agar dapat mendekat untuk sekedar difoto bersama …
x drake,Lumayan bersih... Perlu d tambah pohon2an biar g begitu panas
Sofrul Mukhlis,Jam buka nya harus dipampang besar sehingga pengunjung tidak kecelik. Niat berkunjung jam 10 _ 3 eh maaih tutup. Km. Juga kurang terawat. Air sering kosong .
wahyu kristian,"Ramai dan menyenangkan karena banyak makanan, tetapi butuh di perhatikan kebersihannya dan ketersediaan tempat sampah yg layak. Keamanan dari satuan Linmas / Satpol PP juga tidak pernah terlihat untuk menjaga. Nasi goreng teri ini juga enak banget 😀 …"
zahrotun faidah,"Tempatbyg recomended buat menghabiskan wkt bersama keluarga, pagi hari anak2 bisa kasih makannbiring bawa beras atau jagung dari rumah, jajan pagi aneka pentol, thai tea jus, es teh, es degan, bakso, mie ayam dll. Malam banyak aneka penyetan, mie ayam, gorengan dll. Harga terjangkau"
Saiful Anam,Tempatnya indah dan area bermain anak² cukup memuaskan dan bersih.
Aprianto05,"Lebih ke kumuh, itu tukang parkir di sekeliling alun-alun dari pemda atau pribadi?"
Michael Sulthon,"Ramai, banyak aneka makanan n minuman dekat dengan Masjid namun yang tidak menyenangkan adalah banyaknya pengamen kadang-kadang bersikap kasar pula kalau ndak dikasih"
kharisma sari,"Tempatnya sekarang jauh lebih tenang karna tidak penuh dengan pedagang,lebih bersih cocok untuk duduk2 santai keluarga. Lampu2nya juga cantik di malam hari namun sayang sekali lampunya kurang.dengan kurangnya penerangan tempat ini terlihat …"
Ubaid barik,cocok untuk anak kecil karena tempat nya yang terdapat wahana mainan dan sejuk untuk nongkrong
Sandra Mei,"ada wahana permainan gratis, lapangan buat lari dan main layang2"
Erwin,"Di sepanjang trotoar pejalan kaki di kota JOMBANG banyak sekali pedagang, jadi para pejalan kaki bingung gak bisa lewat trotoar dan kurang nyaman"
Dowor Jarwo,Nyaman dan bersih cocok untuk liburan keluarga
Ridha Ridhul,"Bagus,,
Dan yg perlu dibenahi,, agar semua jenis kendaraan bermotor dilarang masuk alun2 (kecuali petugas), karna banyak anak kecil yg bermain di sana"
Lely Zuli Astutik,Bagus untuk anak2. Tempat penunggu juga nyaman
Teguh Iswantoro,"Untuk area bermain anak buka jam 3 sore tutup jam 8 malam, hindari hari sabtu minggu karena sangat ramai sekali"
adfin arianto,"Tempatnya bagus bersih indah dan nyaman
Saran saya mohon di setiap sisi ada petugas keamanan
Keamanan pengunjung dan tanaman biar tetap bagus dan terawat …"
DinaHarDina,"Selama pandemi ini tidak banyak pedagang yang biasanya berjualan. Lapangan terlihat lebih luas tanpa adanya stan penjual, tapi disisi lain terlihat sepi dan kurang hidup. …"
frendy ri,"Suasana cukup rindang, saat saya berkunjung ke sini, sempat beristirahat dan makan lesehan di pedagang kaki lima yang ada di sebelah barat alun-alun, tepatnya di depan masjid agung. …"
G.W. Gandi,"Alon2 jombang deket stasiun jombang,masjid jombang,SMP2 jombang, SMA 1 jombang,pendopo.
Kalau malem dijadikan tempat seperti pasar malam,bisa menemukan banyak makanan …"
Tafsirul Anwar,"baru kali ini ketemu taman bermain anak"" kalau masuk harus lepas alas kaki(sandal&sepatu)padahal dtempat terbuka umum dan bukan tempat ibadah jombang memang tiada dua"
SMAGRIKA Kesamben,"Saya kesana kondinya sangat bersih karna makanan dan minuman ndak boleh di bawa masuk jd bersih dari serangga,, pokoe Jombang josss"
Kristina Anggraini,"CFD an di alon alon, ramai kali"
muhamad subhan,"Masjidnya besar, nyaman dan bersih, dekat sama alun2 jombang, ada yg jual makanan, cemilan dan minuman..."
Mochamad Rony,"Suasana sesuai alun2 dekat stasiun, kereta, dekat mesjid agung dan untuk sholatnya sesuai prokes, turun dari stasiun KA pun nyaman keluar langsung bisa sholat dan tentunya ikut mandi karena KA datang subuh"
Eva Norisa,Overall bagus dan mulai tertata rapi... Tetapi kalau malam minim sekali pencahayaan... Ada beberapa spot ya cukup remang2 sehingga banyak ditempati muda mudi...
Moch Arif,Dengan bermekarnya bunga tabebuya kini alun-alun jd semakin indah dan menarik
efan adian,"Cukup menyenangkan berada disini, banyaknya pilihan makanan yg tersedia disini. masjidnya pun sangat dekat, Cocok buat acara bersama keluarga dan buah hati kt..."
Saddam Ade Kutari,"Bersih, nyaman, yg lebih penting lagi adalah bisa shalat di masjid Agung dekat alun - alun sembari istirahat bersama keluarga."
Dini Arisandi,Alun2 jombang skg bgs .dan sdh ada playkids nya yg keren 👍👍 …
Lutfy D.,"Alun2 Jombang, tempat favorit masyarakat dari dulu, dari anak-anak sampai orang tua,, apalagi malam Ahad, tumplek bleg d sini,, sering juga d adakan peringatan hari besar, seperti isro mi'roj, muharrom, dll,, juga acara2 keagamaan lain nya, …"
Mochammad Lubbil Machasain,"Sebelum liburan ada baiknya Anda sudah memiliki rekomendasi lokasi bersantai bersama keluarga. Nah, bagi masyarakat yang yang belum memilih tempat liburan yang cocok, coba deh sekali-kali berlibur ke tempat alun-alun Kabupaten Jombang. …"
dewi irawati,"Suasana enak..tapi kalo weekend dan malam hari..ampunnn rame sekali...anak² senang main wahana yang di tengah itu,gratiss"
af studio,Seperti halnya kota-kota lain kabupaten jombang mempunyahi alun-alun kota yg cukup luas dan mudahnya akses untuk menuju ketempat itu membuat pengunjung selalu ramai pada malam hari. …
hana pertiwi,"Setiap pulang jombang anakku selalu langsung minta mampir alun alun. Karena memang kebetulan kita selalu naik krta tiap ke jombang jadi enak banget, turun stasiun jombang nyebrang uda alun alun lengkap dengan permainan yg sangat disukai anak anak"
Muhamad Iqbal S,Malam hari di alun2 kota Jombang paling pas
Muhammad Nuruddin,"Luas.. Parkiran setiap sudut ada..
Ramah anak ..."
danar kusumo,Alun alun jadi luas dan ada tempat bermain anak2
rokhin sadja,"RTH

Alun-alun sebelahan masjid, stasiun, taman bermain, jalan nasional surabaya - …"
Yenni Nurvitasari,"Alun alun Jombang adalah tempat bersejarah buat saya. Enam tahun yg selalu ditemani oleh pepohonan yg baru ditanam. Palm juga masih kecil2.
Sekarang lebih cantik dan bersih. Semoga ke depannya lebih cantiklagi."
Claudia Sintia Uraini,"Untuk di alun alun Jombang kalian bisa nongkrong di taman juga di tengah atau jalan2 juga bisa , sudah ada Wifi-nya dan itu gratis ✅"
Ela Elo,"Tempat yang nyaman, bersih, sejuk. Pohon pohon yang mengitari alun-alun membuatnya semakin asri. Dekat dengan stasiun jombang, sehingga ketika orang baru sampai jombang yang dirasanya adalah dingginnya berteduh di bawah pohon. Ada masjid juga. Banyak pedagang yang berjualan. Saya paling suka thai tea dan bakso bakarnya."
Vino Ardiansyah,"alah 😏gunanya alun alun itu untuk wisata atau kunjungan bukan buat aoutbon anak balita sampai anak dewasa gc boleh iku menikmatinya,apa PROPERTI NYA GC KUAT sampai anak dewasa gc boleh memainkanya,ya saya tau kalau itu buat kapasitan anak …"
Noviana Arofita SE,"Sekarang alun2nya bagus. Ada taman bermain. Cuma sayang kesadaran pengunjungnya masih yaa begitulah... sudah tau ada tulisan dilarang ..........
masih dilanggar jugaa 🙃🙃🙃 …"
Revaldo Wibisono,"Lebih nyaman rasanya kalau di area alun alun (lapangan tengah dan jalurnya) murni diisi pejalan kaki dan pedagang. sepeda motor menggunakan jalur khusus/ jalur lain. Penjual makanan mulai variarif, suka banget jajan malam disini pas pulang kampung. Fyi juga, setiap minggu diadakan senam disini.(seringkali)"
Su parman,Dibanding dg tahun2 lalu alun alun jombang sekarang lebih baik sarana permainan anak2 tersedia kebersihan lebih bersih taman sudah lebih baik enak buat joging tlg dipertahankan sesuai sebutan kota Santri....🙏🙏🙏 …
Dina Sama'i,Asik suasananya
Aya J,"Tempat untuk kencan, bermain dengan anak-anak, mmenghabiiskan waktu  bersama  teman,, atau bahkan waktu untuk aendiri. Kalau malam minggu sudah  seperti pasar malam. Di sana juga banyak yang berjualan. Mulai dari makanan, minuman, aksesoris, hingga mainan. Setiiap hari ahad, car free day mengadakan senaam di alun alun."
Dian Pohan,Alun alun jombang adalah salah satu tempat yang tepat untuk santai dengan anak dan istri apalagi bisa kesitu sore hari menjelang habis solat ashar sampai menjelang magrib dan bisa juga kita melihat air mancur yang menjulang pas di depan …
Ajib Zakaria,"Semrawut org jualan _ fasilitas orang mo jogging _ track nya di isi para pedagang _ kelompok anak muda yg pengen latihan drama atau prsktek permainan kekompakan ""gak ada tempat "" _ mau di benahi : di diskusikan libat kan masyarakat"
ceka cristian koesnady,"Alun alun kota Jombang yang dimiliki warga kabupaten Jombang.
Tempatnya tentu saja luas seperti pada umumnya alun alun.
Dengan kondisi dan fasilitas fasilitas baru yang ditambahkan setelah direnovasi"
pvin Sint,Bersih cocok buat olahraga pagi
mashud,"Masjid ini berhadapan alon2 serta rumah dinas bupati jombang. Alon2 biasanya ramai banget dengan kulinernya, kemarin hr jahat agak sepi ,memang msh ada perbaikan."
ida fah,"Rame bgt di pagi hari minggu....ada acara  dan byk orang jualan di sepanjang jln...
Dpn stasiun kereta,,, dkt masjid Agung"
Syafiatun Madaniyah,"Asyik untuk bawa balita kesana. Cocok sekali
Baru kali ini ada tempat bermain yang nyaman untuk balita dan keluarga.
Matur suwun bupati ibu nyai Hj. Mundjidah Wahab"
Lalang Tri Pirmanu,Aksesnya strategis....nyaman
